ID,Title,Location,Salary,Summary
http://kr.indeed.com/viewjob?jk=35f0a25dee5f3312,딥러닝 알고리즘 및 응용 Engineer,딥엑스 성남 분당구,"연봉 40,000,000원 - 100,000,000원",모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
http://kr.indeed.com/viewjob?jk=8af26b37623864c4,8퍼센트 개발자 (신입/경력),8퍼센트 서울 종로구,,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
http://kr.indeed.com/viewjob?jk=2cfd15907402c5cc,DGIST 제2차 계약직 연구원 채용공고,대구경북과학기술원 대구 현풍면,,천원 이내 수행 내용 Machine learning (Deep learning) 알고리즘 개발 Python/Tensorflow 프로그래밍 Matlab/simulink 모의실험 자율주행 자동차 혹은 전문 서비...
http://kr.indeed.com/viewjob?jk=6ff3488d913b3389,Senior Data Warehouse Consultant,Amazon Web Services Korea LLC 서울,,"bash, perl or python) ability · Ability... 평가 경험 · SQL 및 핸즈온 스크립팅 (bash, perl 또는 python) 경험 · 고객 / 파트너 팀과 관련된 업무를 주도 할 수있는 능력..."
http://kr.indeed.com/viewjob?jk=3e80435be74cd28f,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원 광주 북구,,업무) 지원자격 연구직 O명 블록체인 연구 및 프로그래밍 제작 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 3) 블록체인 개발 경험자 우대 4) 컴퓨터공학 및 컴퓨터사이...
http://kr.indeed.com/viewjob?jk=499a1e5dd021bd9b,[촉탁직] 금융신규사업(AI예측기반 Data사업) 수행 전문인력 (데이터...,SK 씨앤씨 4.0 서울,,역량/스킬 - 금융 시장지수/가격 등 데이터에 대한 이해 - 금융/시계열 BigData/AI 분석역량(R/ Python/Tensorflow/pyTorch 등) - 개별예측모델 구축 및 앙상블 분석/최적화 역량 - Agile...
http://kr.indeed.com/viewjob?jk=634bb1f5a4ecd428,"블록체인 , 거래소 개발자",알라딘글로벌알앤디센터 서울 강남구,,"ㆍJava , Node , Go , Python 등 1개 이상의 언어 개발... 모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
http://kr.indeed.com/viewjob?jk=115c46e0d1df11d8,[개발자] 모비데이즈 프론트엔드 개발자 경력직 채용,Mobidays 서울특별시,,"험이 있으신 분 -활용 가능한 서버사이드 언어가 1개 이상 있는 분(Ruby, Java, Node.js, Python 등) -웹/모바일 광고 업계의 유사 업종 근무 경력 보유자 -플랫폼 또는 B2B 서비스 개발 프로젝트 참여..."
http://kr.indeed.com/viewjob?jk=b970fab4900ee5ec,[포털서비스] AB테스트 설계/분석 데이터 엔지니어 및 서버 개발자 모집,카카오 4.0 성남 판교역,,니다. 실험 프로세스 구축 및 이를 위한 도구 개발 지원자격 최소자격 개발 경력 2년 이상 Python 사용에 어려움이 없으신 분 우대사항 하둡 에코시스템에서 대용량 데이터 처리 경험이 있으신 분 ( hadoop...
http://kr.indeed.com/viewjob?jk=620ad067957fff84,클라우드 엔지니어,고도소프트 서울 구로구,,"새로운 환경을 익히는 것에 즐거움을 느끼시는 분 - DevOps개발자로 성장하고 싶으신 분 우대사항 - Python 개발 경험이 있으신 분 - 대용량 트래픽 및 트래픽 분산 처리 경험이 있으신 분 - Ansible, Chef..."
http://kr.indeed.com/viewjob?jk=27d7e0e6e1cd10f0,Application Engineer Consultant - HAV,Mentor Graphics (Korea) LLC 4.0 경기도 성남,,"Proficient in scripting languages used today. (e.g., Perl, Python, various shell scripts/Makefiles, XML, JSON, etc.) Good..."
http://kr.indeed.com/viewjob?jk=c0325cb356f25640,[한국컴패션] 마케팅 분석 및 리서치 업무 지원 (계약직) #사무직 #전...,서울 서울 한남동,,"프로젝트 수행 경험 (우대) - 경영 혹은 마케팅 전공자 (우대) - 논리적/분석적 사고/ Tableau, Python 등의 데이터 분석 Tool 사용 가능자 (우대) 3) 기타요건 - 업무상 필요 시 국내 출장 - 남자의..."
http://kr.indeed.com/viewjob?jk=15edcadd124ad99a,매칭 데이터분석,Nexon 성남 분당구,,"최적화 된 모델을 적용하고 평가합니다. 지원자격 [이런 경험을 가진 파티원을 찾습니다.] - SQL, Python 등의 언어를 통해 데이터를 가공한 경험이 있는 분을 찾습니다. - 문제에 적합한 머신러닝 모델을 선택하고..."
http://kr.indeed.com/viewjob?jk=31c8ae4a133b5147,SW(모바일앱 및 웹개발) 신입/경력 정규직 개발자,더조인 서울 강남구,,통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
http://kr.indeed.com/viewjob?jk=484146295fa7ae44,동아대학교 미디어디바이스연구센터 S/W Engineer 연구원,동아대학교 산학협력단 부산 사하구,"연봉 30,000,000원 - 50,000,000원","펌웨어, 임베디드, 윈도우 어플리케이션 개발- AI 모델, Back-End 개발- C/C++(필수), Python, JAVA (옵션)- Caffe, Tensorflow, Keras 등 딥러닝 프레임워크 경험자 우대 [근무시간..."
http://kr.indeed.com/viewjob?jk=bed9e06d63a37482,IT 강소기업 JAVA 솔루션 개발자 (경력직) (성수동),휴먼브릿지앤코 서울,"연봉 50,000,000원 - 60,000,000원",로그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>Servlet|인터넷·IT·통신·모바일·게임>응용프로그래머...
http://kr.indeed.com/viewjob?jk=d158e683dc0b7500,파이썬 개발자 초중급 이상,데이터앤솔루션 서울 서초구,,전형 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Python
http://kr.indeed.com/viewjob?jk=89f3e10d77a126bf,Field Service Engineer,Nearfield Instruments 경기도 용인,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
http://kr.indeed.com/viewjob?jk=e62884b9963eec88,SW개발 및 기술지원 사원,포유시스템즈 서울 서초구,,"프로그램개발 및 기술지원 (WEB,Server) - 관리시스템 개발 및 관리 - 웹 UI 및 백엔드 개발 - Python, javascript, Linux 필수,서버 및 네트워크 관리 프로그램 , 모바일 어플리케이션 개발 및..."
http://kr.indeed.com/viewjob?jk=ac56efb00fa1addf,Sr. Data Architect,Amazon Web Services Korea LLC 서울,,"Java, JavaScript, Python, etc). · Current... 최소 하나 이상의 프로그래밍 언어(Java, JavaScript, Python 등)로 소프트웨어 코드를 개발한 경험 구현 업무 실무 수행 가능..."
http://kr.indeed.com/viewjob?jk=2bbaaacb445f9911,2021-1회 데이터사이언스그룹 박사후연구원,기초과학연구원 대전,,"PNAS, Science, Nature), 다음의 분석언어와 도구를 하나 이상 능숙하게 다룰 수 있는 자( Python/R/Scala/Scikit-learn/Spark/TensorFlow/PyTorch) ㅇ 인원: 4명..."
http://kr.indeed.com/viewjob?jk=e29ab2210c23b65f,[진행중] 우리은행 빅데이터사업부 전문직(데이터 사이언티스트(데이터분석가...,우리은행 4.5 서울 회현동,,ML/DL 기술을 활용한 분석모델 개발 및 서비스를 적용해 본 경험이 있는자 - 데이터 분석을 위한 언어( Python/R)를 하나 이상 능숙하게 다룰 수 있는자 우대사항 - 금융분야 ML/DL 관련 업무 경력 2년...
http://kr.indeed.com/viewjob?jk=7c3a4bbd31532538,각 부문별 경력사원 수시,텔레칩스 서울 송파구,,유지/보수 지원 자격 ㆍ관련 경력 2~7년 경력 보유자 ㆍ스크립트 활용 가능자 및 역량 보유자 (쉘 스크립트 및 python 등) ㆍ임베디드 시스템 및 테스트 수행 절차에 대한 이해도 보유 ㆍ테스트 자동화 도구 활용 경험자...
http://kr.indeed.com/viewjob?jk=409c1253b2dde75b,동국대학교 데이터분석팀 연구원(계약직) 채용공고,동국대학교 4.3 서울 필동,,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : O명 3. 근무조건 및 계약기간 구 분..."
http://kr.indeed.com/viewjob?jk=d3a6ba916d772b85,[인공지능기업] 병역특례 산업기능요원 (SW개발자),머니브레인 서울,,JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>.NET...
http://kr.indeed.com/viewjob?jk=db55ee61f98e6816,DGIST 동반진단의료기술융합연구실 계약직 연구원 채용 공고,대구경북과학기술원 대구 현풍면,,데이터 통계 분석 AI 기반 데이터 분석을 위한 대용량 고속 데이터 처리 DB 구축 우대 사항 Python/Jave 기반 생체 정보 데이터 분석 경험자 대용량 고속 데이터 처리 DB 구축 경험자 급여수준...
http://kr.indeed.com/viewjob?jk=6b86ea39985912b6,NHN Cloud 사업기획/영업,NHN 4.4 성남 판교역,,"Linux, Microsoft Solutions 등) - 2년 이상의 개발 경험 (Java, Python 등) - 기술 문서 작성 및 가이드 경험이 풍부한 자 - 대외 고객 기술 지원 경험 공통지원자격..."
http://kr.indeed.com/viewjob?jk=5331de34a85a125a,[코그넥스] 딥러닝 연구원 (신입/경력/전문연구요원),코그넥스코리아 서울 서초구,,"network 등) - Deep Learning 방법론에 대한 데모 프로그램 제작 및 제품화 코드 작성 ( Python / C++) - 다양한 종류의 제조업 이미지 데이터에 대한 탐색, 분석 및 전처리 모듈 구현 - 최신..."
